,Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
,,03/18/2025,70,Other,3500,5151,4511
,,03/19/2025,79,Other,3400,5000,4600
,,03/20/2025,70,Other,4000,5151,4511
,,03/21/2025,80,Other,3200,5100,4100
,,03/22/2025,82,Other,3200,5501,4200
,,03/24/2025,80,Other,3300,5700,4500
,,03/25/2025,66,Other,3900,5800,4500
,,03/26/2025,60,Other,3000,5300,4150
,,03/28/2025,85,Other,3890,5411,4511
,Sillod(Bharadi),03-01-2025,0.1,Other,4900,4900,4900
,,03-08-2025,0.1,Other,5199,5199,5199
Sillod(Bharadi),,03/15/2025,0.1,Other,5000,5000,5000
,,03/22/2025,0.2,Other,5100,5100,5100
,,03/29/2025,1.7,Other,4400,5175,5001
,Umarga,03/22/2025,0.3,Local,4500,4500,4500
,03/29/2025,1.7,Other,4400,5175,5001,
Umarga,03/22/2025,0.3,Local,4500,4500,4500,
